epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,612.768,1.94153,2.28485,0.00574,0.44833,0.14379,0.14216,0.05034,2.40049,4.1666,0.01038,0.000332991,0.000332991,0.0670338
2,1213.32,1.73885,1.64059,0.00505,0.35598,0.20429,0.16476,0.05724,3.13767,3.34196,0.01374,0.000622347,0.000622347,0.0339899
3,1811.97,1.6348,1.34989,0.00464,0.38296,0.27738,0.23254,0.07712,2.58247,3.06216,0.01129,0.000867703,0.000867703,0.000901891
4,2410.01,1.54318,1.13949,0.00434,0.40149,0.29196,0.24339,0.08194,2.53286,3.01884,0.0111,0.000802,0.000802,0.000802
5,3007.6,1.47782,0.99716,0.00413,0.38732,0.23835,0.18395,0.06286,2.61094,3.8203,0.01149,0.000736,0.000736,0.000736
6,3605.58,1.41699,0.89601,0.00392,0.40145,0.29567,0.23457,0.07801,2.56968,3.00932,0.01137,0.00067,0.00067,0.00067
7,4202.85,1.34726,0.81055,0.00368,0.37189,0.26499,0.18558,0.05915,2.60782,3.51695,0.01161,0.000604,0.000604,0.000604
8,4800.56,1.30811,0.75477,0.00355,0.40879,0.28666,0.21659,0.06855,2.60397,3.2321,0.01158,0.000538,0.000538,0.000538
9,5398.12,1.25208,0.68901,0.00334,0.42815,0.25591,0.18521,0.06032,2.72635,3.99928,0.01219,0.000472,0.000472,0.000472
10,5995.24,1.2203,0.64875,0.00326,0.37948,0.24995,0.17024,0.05528,2.89531,3.90634,0.01296,0.000406,0.000406,0.000406
11,6592.03,1.17779,0.60412,0.00311,0.39794,0.25366,0.18111,0.0568,2.8187,3.91756,0.01272,0.00034,0.00034,0.00034
12,7188.84,1.14005,0.56823,0.00301,0.38898,0.23928,0.16695,0.05372,2.91612,3.99593,0.01311,0.000274,0.000274,0.000274
13,7786.02,1.11091,0.54252,0.00291,0.41526,0.24259,0.16815,0.05328,2.9361,4.22116,0.01326,0.000208,0.000208,0.000208
14,8383.06,1.08876,0.52265,0.00283,0.41085,0.23849,0.16559,0.05351,2.93908,4.39278,0.01335,0.000142,0.000142,0.000142
15,8979.95,1.07251,0.50946,0.00278,0.41214,0.23696,0.16496,0.05212,2.90816,4.343,0.01317,7.6e-05,7.6e-05,7.6e-05
