epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,613.462,1.93268,2.6883,0.00571,0.32536,0.25572,0.21259,0.0692,2.26813,2.87543,0.00981,0.000332991,0.000332991,0.0670338
2,1215.3,1.74674,1.68264,0.00509,0.38476,0.2581,0.20238,0.06874,2.68904,3.69999,0.01168,0.000622347,0.000622347,0.0339899
3,1815.28,1.63812,1.36626,0.00466,0.43574,0.31527,0.2928,0.1002,2.48767,2.67495,0.01083,0.000867703,0.000867703,0.000901891
4,2414.15,1.54464,1.16877,0.00434,0.35328,0.25552,0.19798,0.06446,2.74352,3.25269,0.01221,0.000802,0.000802,0.000802
5,3012.54,1.47911,1.03261,0.00414,0.38676,0.24644,0.19701,0.06669,2.53487,3.49862,0.01113,0.000736,0.000736,0.000736
6,3611.45,1.41393,0.90721,0.00391,0.39792,0.30256,0.23737,0.07621,2.60795,2.89919,0.01146,0.00067,0.00067,0.00067
7,4209.68,1.35958,0.81324,0.00372,0.34356,0.24803,0.18155,0.05895,2.69056,3.42622,0.01194,0.000604,0.000604,0.000604
8,4807.71,1.31496,0.76135,0.00358,0.3542,0.25479,0.19198,0.05761,2.70101,3.19438,0.01198,0.000538,0.000538,0.000538
9,5405.96,1.2679,0.70276,0.0034,0.43415,0.22265,0.17733,0.05962,2.80773,4.32882,0.01257,0.000472,0.000472,0.000472
10,6004.21,1.23214,0.64856,0.00331,0.39913,0.23637,0.17929,0.05635,2.88202,3.631,0.01279,0.000406,0.000406,0.000406
11,6602.05,1.19072,0.61119,0.00316,0.42061,0.25247,0.19732,0.064,2.80768,3.6523,0.01255,0.00034,0.00034,0.00034
12,7200.1,1.15235,0.57791,0.00307,0.38983,0.26299,0.19118,0.05921,2.77068,3.49516,0.0123,0.000274,0.000274,0.000274
13,7797.91,1.12158,0.55037,0.00295,0.43285,0.2308,0.17619,0.05387,2.85935,3.92569,0.01281,0.000208,0.000208,0.000208
14,8395.93,1.09929,0.52497,0.00287,0.39769,0.22841,0.16353,0.04969,2.84401,3.94593,0.01272,0.000142,0.000142,0.000142
15,8993.61,1.08361,0.51361,0.00282,0.40755,0.22702,0.16242,0.05039,2.87702,3.9907,0.01289,7.6e-05,7.6e-05,7.6e-05
